geometry,f0_hz,harmonic,I_amp_A
sawbowl_curved,100000.0,1,2.5489862682672975
sawbowl_curved,100000.0,2,0.462964683852741
sawbowl_curved,100000.0,3,0.1350040184097273
sawbowl_curved,234034.73193207162,1,1.0924651459626462
sawbowl_curved,234034.73193207162,2,0.19807021609403797
sawbowl_curved,234034.73193207162,3,0.05773073111889022
sawbowl_curved,547722.5575051662,1,0.4672872861873751
sawbowl_curved,547722.5575051662,2,0.08467265843776302
sawbowl_curved,547722.5575051662,3,0.024674967118830344
sawbowl_curved,1281861.0191887026,1,0.19974450328900759
sawbowl_curved,1281861.0191887026,2,0.036186174899435576
sawbowl_curved,1281861.0191887026,3,0.010544545488203917
sawbowl_curved,3000000.0,1,0.08536146489815885
sawbowl_curved,3000000.0,2,0.015463028505439432
sawbowl_curved,3000000.0,3,0.0045057655973806555
sawbowl_chord,100000.0,1,2.8511684724153907
sawbowl_chord,100000.0,2,0.5180998668848711
sawbowl_chord,100000.0,3,0.15110270309398488
sawbowl_chord,234034.73193207162,1,1.2226439813214873
sawbowl_chord,234034.73193207162,2,0.22170947074601222
sawbowl_chord,234034.73193207162,3,0.06462403807189504
sawbowl_chord,547722.5575051662,1,0.5230687454382428
sawbowl_chord,547722.5575051662,2,0.09478621473630548
sawbowl_chord,547722.5575051662,3,0.02762276089698428
sawbowl_chord,1281861.0191887026,1,0.22360451848331814
sawbowl_chord,1281861.0191887026,2,0.040509705868472495
sawbowl_chord,1281861.0191887026,3,0.011804502714980271
sawbowl_chord,3000000.0,1,0.09556079919000117
sawbowl_chord,3000000.0,2,0.01731078611920238
sawbowl_chord,3000000.0,3,0.005044199243083413
rodin6lane,100000.0,1,1.6144512976652174
rodin6lane,100000.0,2,0.2928603829785019
rodin6lane,100000.0,3,0.08536985771763798
rodin6lane,234034.73193207162,1,0.6909570239184624
rodin6lane,234034.73193207162,2,0.12522035409757298
rodin6lane,234034.73193207162,3,0.036492709098230346
rodin6lane,547722.5575051662,1,0.2954027812348353
rodin6lane,547722.5575051662,2,0.05351846602414268
rodin6lane,547722.5575051662,3,0.015595347907500978
rodin6lane,1281861.0191887026,1,0.12624832139829878
rodin6lane,1281861.0191887026,2,0.022869986787760026
rodin6lane,1281861.0191887026,3,0.006664111851972506
rodin6lane,3000000.0,1,0.05394872941742846
rodin6lane,3000000.0,2,0.009772434588355411
rodin6lane,3000000.0,3,0.0028475620018258902
